,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,AMZN,AMZN,AMZN,AMZN,AMZN,TSLA,TSLA,TSLA,TSLA,TSLA,META,META,META,META,META,NVDA,NVDA,NVDA,NVDA,NVDA,JPM,JPM,JPM,JPM,JPM,JNJ,JNJ,JNJ,JNJ,JNJ,V,V,V,V,V
Price,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-07,167.662841796875,168.05463216133037,164.881197462976,165.60599842826275,120405400,324.0628662109375,324.91431432856854,319.3991097138028,320.88919559415706,31021900,146.26071166992188,146.52042549921632,144.2326918773365,144.59916751824136,32240000,176.1645050048828,177.49949645996094,173.33450317382812,174.60000610351562,66410000,350.5833435058594,352.5566711425781,342.2699890136719,348.0666809082031,56084700,320.8321533203125,324.5393106751118,319.033245546018,319.59976045763955,18794000,32.36430740356445,32.3862680389149,30.591741852503894,30.89715192628836,593053000,146.36654663085938,147.1048095420635,145.0970789710085,145.74531719144574,9851600,145.3011474609375,146.11055353221641,144.45616921566176,145.87039724878503,8311300,201.21356201171875,201.76664686863842,199.77750463064984,199.88423952554047,11897200
2021-12-08,171.4827117919922,172.3446356103418,167.19270089919112,168.59332710400926,116998900,324.11126708984375,324.6240848803563,320.07643313181967,324.4402417546736,24761000,147.17144775390625,147.37654563981545,145.40315664150788,146.58549276228777,24270000,176.1580047607422,177.17999267578125,174.75050354003906,176.15049743652344,45254000,356.32000732421875,357.4599914550781,344.3333435058594,350.9033203125,41906400,328.53466796875,330.7112523414874,321.090568643624,323.00873632151286,19937700,31.76447105407715,32.227574704104825,31.36025335466527,31.937136928475184,475551000,144.69189453125,146.9967348104729,144.20570912795446,146.4475335144134,11705700,146.17279052734375,146.37737461200203,144.6607222338675,145.39897029576122,6216400,202.78549194335938,203.26093530482876,199.60287005450982,201.49497532291355,11749200
2021-12-09,170.97335815429688,173.1183631784156,170.34650866761442,171.3161727723624,108923700,322.3018798828125,325.5819706607434,321.35363798124615,323.5694111588265,22214200,146.627197265625,148.0786882197915,146.10728463519155,146.58002202898808,23270000,174.17100524902344,176.96949768066406,174.13949584960938,175.75,46062000,334.6000061035156,354.163330078125,334.1199951171875,353.5466613769531,59438400,327.7992248535156,334.07056152989054,325.99036857779504,327.52094160575854,16879200,30.431053161621094,32.14273959159787,30.369172752689572,31.672647606673255,488507000,144.46685791015625,144.89000007853895,142.83725019755852,143.7375795747582,11189600,147.56033325195312,147.63149116205264,145.41676058763355,146.03047211477258,8574200,205.11422729492188,205.90017754716388,201.01950998536435,202.3294369429572,10176800
2021-12-10,175.762939453125,175.93924886657175,171.10074585864132,171.61006589770645,115402700,331.435791015625,331.88087079600416,323.93702498451995,324.1208680623837,38095700,146.9877166748047,147.95702922192558,145.6991036669825,147.68143367478206,24458000,172.21200561523438,175.927001953125,170.5,175.41700744628906,60690000,339.010009765625,340.32666015625,327.510009765625,336.25,59664300,327.7296447753906,332.97729337085224,324.3703489464802,330.52242567515606,14528000,30.139616012573242,31.24447612099294,29.80326766525303,31.089775108201945,488825000,143.89064025878906,145.58325005908668,143.2694108223978,145.2411342551404,10405400,147.19569396972656,148.26303566828827,146.4485425659459,147.26685189256213,6572200,207.06454467773438,207.88931567975763,204.59995907173519,205.60907689001147,8882700
2021-12-13,172.129150390625,178.38785718223016,171.9234585953343,177.39859965742585,153237000,328.39764404296875,332.64534732460373,328.08801041527346,329.636149025462,28899400,144.82762145996094,146.95643255514503,144.52073235798926,146.76921671564287,27070000,169.5675048828125,172.10000610351562,169.1300048828125,172.0,62170000,322.13665771484375,335.0,317.1400146484375,333.6966552734375,78595500,332.4405822753906,339.00015038245556,327.5706104626266,328.92229356418693,22948700,28.10655403137207,30.235431505717692,28.06164095629319,30.190518430638814,598344000,142.18002319335938,143.86363484619608,141.60381290258542,143.60254535388128,12069000,149.82843017578125,150.49552025988712,145.69247708311786,146.53745514192215,11142300,204.75523376464844,206.98695423184176,203.74610103589652,206.14277275945042,8844300
2021-12-14,170.74810791015625,174.08804749115933,168.67167154672788,171.64920321778123,139380400,317.6961975097656,323.79198810435076,313.6033108046137,322.41800725694964,44438700,142.9212646484375,143.49033777775247,140.24770295550135,142.9818514180104,38446000,169.0915069580078,169.49899291992188,166.44000244140625,167.5500030517578,55976000,319.5033264160156,322.13665771484375,310.0,315.0,70806300,331.6951904296875,333.643203495218,325.6425070410587,326.04005020504076,20461000,28.28221321105957,28.62255352658214,27.1973149206465,27.645446231268327,667035000,143.2694091796875,144.85398383824779,141.62180487447787,141.75684877739045,12563600,151.4650115966797,152.06984695845262,148.68103171887438,149.72169055506112,10482400,203.74606323242188,207.0354195713819,202.2614873948424,204.47379706675625,9832300
2021-12-15,175.61599731445312,175.81188500506997,168.76961267963995,171.5120851840939,131063300,323.8015441894531,324.3240471146296,313.98058570405783,317.957336421835,35381100,145.4379119873047,145.71599284864382,140.70753679900537,142.4266826928962,36370000,173.31500244140625,173.60000610351562,165.19500732421875,168.59800720214844,75794000,325.3299865722656,326.25,309.4166564941406,317.7366638183594,75169200,339.5666809082031,340.01390559683887,321.9950120940399,330.4528513988559,24681300,30.40011215209961,30.441033250824958,27.7841791365001,28.345092875773645,698297000,142.19801330566406,143.91764558349217,141.66682231029358,143.91764558349217,14014200,152.22103881835938,152.3633546051298,150.69117804052817,151.0736500209762,8552200,206.00689697265625,206.18156079658218,201.6890124011011,203.18328606641631,10892500
2021-12-16,168.7206573486328,177.41820935643656,167.24168791922142,175.5964252181878,150185800,314.36773681640625,325.8432875010157,312.5486759013055,324.82730754994316,35034800,143.45555114746094,146.6654064369185,142.62327888480814,146.1623757470697,33650000,168.87100219726562,174.16600036621094,168.16050720214844,173.36849975585938,60876000,308.97332763671875,331.6600036621094,307.2833251953125,331.5,82771500,332.8481140136719,342.3495389624486,331.6952175125707,336.90313347693825,22635000,28.33211326599121,31.09975242520128,28.038682990123437,31.091768471801842,707366000,144.42181396484375,145.6912814664333,142.88224494875567,144.40380353376153,19542800,153.88436889648438,154.3290957151145,151.95425613226783,152.3278250312789,8998600,208.0057373046875,209.84933862124424,205.3276820477591,208.8984223903303,8548400
